7.1794E-02;1.4359E-06
7.1798E-02;1.4360E-06
7.2003E-02;1.4401E-06
7.2022E-02;1.4404E-06
7.2264E-02;1.4453E-06
7.2271E-02;1.4454E-06
7.2297E-02;1.4459E-06
7.2487E-02;1.4497E-06
7.2744E-02;1.4549E-06
7.2748E-02;1.4550E-06
7.2770E-02;1.4554E-06
7.2785E-02;1.4557E-06
7.2830E-02;1.4566E-06
7.2863E-02;1.4573E-06
7.2942E-02;1.4588E-06
7.3053E-02;1.4611E-06
7.3072E-02;1.4614E-06
7.3493E-02;1.4699E-06
7.3545E-02;1.4709E-06
7.3806E-02;1.4761E-06
7.3925E-02;1.4785E-06
7.4029E-02;1.4806E-06
7.4033E-02;1.4807E-06
7.4093E-02;1.4819E-06
7.4119E-02;1.4824E-06
7.4164E-02;1.4833E-06
7.4260E-02;1.4852E-06
7.4346E-02;1.4869E-06
7.4644E-02;1.4929E-06
7.4719E-02;1.4944E-06
7.4763E-02;1.4953E-06
7.4853E-02;1.4971E-06
7.4909E-02;1.4982E-06
7.5080E-02;1.5016E-06
7.5281E-02;1.5056E-06
7.5337E-02;1.5067E-06
7.5412E-02;1.5082E-06
7.5430E-02;1.5086E-06
7.5464E-02;1.5093E-06
7.5471E-02;1.5094E-06
7.5520E-02;1.5104E-06
7.5531E-02;1.5106E-06
7.5587E-02;1.5117E-06
7.5683E-02;1.5137E-06
7.5747E-02;1.5149E-06
7.5866E-02;1.5173E-06
7.5933E-02;1.5187E-06
7.5985E-02;1.5197E-06
7.6026E-02;1.5205E-06
7.6049E-02;1.5210E-06
7.6086E-02;1.5217E-06
7.6086E-02;1.5217E-06
7.6097E-02;1.5219E-06
7.6157E-02;1.5231E-06
7.6160E-02;1.5232E-06
7.6190E-02;1.5238E-06
7.6253E-02;1.5251E-06
7.6280E-02;1.5256E-06
7.6369E-02;1.5274E-06
7.6402E-02;1.5280E-06
7.6410E-02;1.5282E-06
7.6410E-02;1.5282E-06
7.6510E-02;1.5302E-06
7.6574E-02;1.5315E-06
7.6630E-02;1.5326E-06
7.6663E-02;1.5333E-06
7.6749E-02;1.5350E-06
7.6775E-02;1.5355E-06
7.6984E-02;1.5397E-06
7.7047E-02;1.5409E-06
7.7051E-02;1.5410E-06
7.7129E-02;1.5426E-06
7.7326E-02;1.5465E-06
7.7416E-02;1.5483E-06
7.7453E-02;1.5491E-06
7.7509E-02;1.5502E-06
7.7509E-02;1.5502E-06
7.7520E-02;1.5504E-06
7.7766E-02;1.5553E-06
7.7807E-02;1.5561E-06
7.7807E-02;1.5561E-06
7.7822E-02;1.5564E-06
7.7837E-02;1.5567E-06
7.7881E-02;1.5576E-06
7.7952E-02;1.5590E-06
7.7952E-02;1.5590E-06
7.8004E-02;1.5601E-06
7.8012E-02;1.5602E-06
7.8016E-02;1.5603E-06
7.8030E-02;1.5606E-06
7.8038E-02;1.5608E-06
7.8049E-02;1.5610E-06
7.8138E-02;1.5628E-06
7.8310E-02;1.5662E-06
7.8463E-02;1.5693E-06
7.8463E-02;1.5693E-06
7.8518E-02;1.5704E-06
7.8597E-02;1.5719E-06
7.8626E-02;1.5725E-06
7.8686E-02;1.5737E-06
7.8705E-02;1.5741E-06
7.8746E-02;1.5749E-06
7.8798E-02;1.5760E-06
7.8798E-02;1.5760E-06
7.8865E-02;1.5773E-06
7.8939E-02;1.5788E-06
7.8951E-02;1.5790E-06
7.9044E-02;1.5809E-06
7.9085E-02;1.5817E-06
